SKU,Title,Description,Order Time,Quantity,Price,Shipping,Order ID
A35365,Jordan 10 seattle (Size 9.5),,2024-05-09 22:14:29 -0700,1,79.99,9.99,4834
A41915,Nike Air FOG  (Size 10.5),,2024-05-09 22:08:13 -0700,1,59.99,9.99,4833
A40502,Nike Crater Impact  (Size 10) °,,2024-05-09 22:02:29 -0700,1,29.99,9.99,4832
A41426,Nike SB bred (Size 11) °,,2024-05-09 21:54:01 -0700,1,119.99,9.99,4831
A41589,Jordan 11 gamma (Size 10.5),,,1,169.99,,4831
A41371,Lebron Grey (Size 9.5),,2024-05-09 21:52:39 -0700,1,39.99,9.99,4830
A41850,jordan 6 CNY (Size 9),,,1,99.99,,4830
A41824,jordan 1 taxi (Size 10),,2024-05-09 21:51:38 -0700,1,99.99,9.99,4829
A41248,Jordan 3 Cardinal (Size 10.5),,,1,79.99,,4829
A41062,jordan 1 pollen (Size 10),,,1,99.99,,4829
A41251,Jordan 12 Playoff (Size 9),,,1,79.99,,4829
A41387,Jordan 1 Tie Dye (Size 7.5),,,1,99.99,,4829
A41888,Jordan 1 Metallic Gold (Size 8),,,1,99.99,,4829
A41402,Jordan 3 Unite (Size 11.5),,,1,89.99,,4829
A41628,jordan 12 flu game (Size 12),,,1,129.99,,4829
A37532,Jordan 1 Low GS ‘Sky Mauve’ (MULTIPLE SIZES),,2024-05-09 21:37:57 -0700,1,79.99,9.99,4828
A41812,jordan 10 steath (Size 10),,2024-05-09 21:34:56 -0700,1,69.99,9.99,4827
A40767,Jordan 5 fire red (Size 10),,,1,89.99,,4827
A41038,jordan 1 unc toe (Size 12),,2024-05-09 21:20:09 -0700,1,129.99,9.99,4826
A41932,Jordan 6 UNC DS (Size 6),,2024-05-09 21:14:41 -0700,1,79.99,9.99,4825
A41875,Jordan 1 Low Starfish (Size 6.5),,,1,79.99,,4825
A41896,Jordan 1 Shadow 2.0 (Size 10.5),,2024-05-09 20:51:14 -0700,1,139.99,9.99,4824
A41057,jordan 1 uni blue (Size 4.5),,2024-05-09 20:48:18 -0700,1,149.99,9.99,4823
A40981,Lightning 4s (Size 11.5) °,,2024-05-09 20:22:59 -0700,1,129.99,9.99,4822
A41447,Jordan 3 pure money (Size 9) °,,2024-05-09 20:18:01 -0700,1,79.99,9.99,4821
A41630,jordan 5 fire red (Size 10),,2024-05-09 20:15:23 -0700,1,119.99,9.99,4820
A41091,Air Max Desert (Size 11),,2024-05-09 19:51:01 -0700,1,59.99,9.99,4819
A41603,Jordan 1 Low Crimson (Size 10),,2024-05-09 19:48:28 -0700,1,89.99,9.99,4818
